user_name	user_friends
Bharat Jesani Öù? Ö??Ö??Ö?¯Ö?? Ö??Öù?Ö??Ö??Ö??Öù?	163
"#TokyoOlympicsÉ?? https://t.co/thfT6seLRu"""	0
Deepak Pandey	203
Ö??Ö?®Ö??Ö?®Ö?? Ö??Ö?®Ö??Ö??Öù?????????	38
INQUIRER Sports	522
Mr._Adarsh	39
Claire Christian	261
Wasim Akram	206
TOI Sports	254
"#Boxing: Vikas Krishan loses 0-5 to Sewonrets Quincy MensÉ?? https://t.co/fde2PdtGp7"""	2
Subham Karmakar ????????	362
"#Boxing #Tokyo2020"""	0
LatestLY	348
"#Tokyo2020 #Olympics #TokyoOlympics #OlympicGamesÉ?? https://t.co/QOTHZcQ8kO"""	0
Alpine Warriors	31
Mark Pickering ??è?¢ˇÅ?¢ˇÅõ¢ˇÅ˙¢ˇÅ™¢ˇÅ?¢ˇÅ®???????Ê?ü??ü¨???	550
"#Tokyo2020 https://t.co/i1I52cprft"""	2
East News	800
" #eastnews #India #mirabai #nationalÉ?? https://t.co/v1OyuLIcCh"""	0
(Ö?¯Ö??Ö?˙ÖùçÖ??ÖùçÖ?¯Ö?ÊÖ??Ö??Öù? Ö??Ö??Ö??ÖùçÖ??Ö?? Ö?¶ÖùçÖ?¯Ö??Ö??Ö?¶Ö??Ö?®)	47
"Thank you for making us all proudÉ?? https://t.co/Vhy1gX9ZZN"""	0
Anurag Sinha	2852
David DeGuzman WFXR	1372
"Takato Naohisa took ??ù? in the menÉ??É?? https://t.co/nkCSqACj8L"""	0
learnthedigital	272
"#education #EducationForAllÉ?? https://t.co/EG2aanuuvg"""	0
Ian Anderson	1481
Matrix Travel App	178
Anesa Topko	69
MAVERICK ???Ò	165
Naveen Peter	360
"The experienced Indian is beaten in the opening rÉ?? https://t.co/L58biK2R22"""	0
??è?ã?èÉ?ç????Elizabeth??è?ã?èÉ?ç????	1652
"#Tokyo2020"""	0
Citius Altius Fortius É??ã?è	110
Ms.Womba-Wuta Wanki	1573
"#Olympics #TokyoOlympics #Tokyo2020"""	0
Dr Rohit Bhaskar	185
Vllaznim HALILI	290
"#Tokyo2020 https://t.co/VyXm8ITV2N"""	0
Chip ??ã?è3ã?èÉüú??è?É??ã?è??ê???è???êè??????è´É?ç???¨	688
You still did your country proud	Twitter for Android
Ö??Ö??ÖùçÖ??Öù?Ö??Ö?? R Ö??ÖùçÖ?ÊÖ?®Ö?ÊÖù?Ö??Öù? (Ö??Öù?Ö?¯ÖùçÖ?? Ö??ÖùÅÖ??Ö??Ö?¯ Ö??ÖùçÖ?ÊÖ?®Ö?ÊÖù?Ö??Öù?)	756
"ConÉ?? https://t.co/1i26PZybHL"""	0
Olympics Results	39
"1/ Qian Yang #China????????#CHNÉ?? https://t.co/md59AWB4Q8"""	0
India Today Sports	27
ALOK CHAUDHARY	67
"#MirabaiChanu https://t.co/iyDEG33sm3"""	0
V??ctor	372
Demogorgan	477
"#Olympics #Tokyo2020 #TokyoOlympics2021"""	0
DHAWAL JAIN	1157
"Mirabai Chanu wins silver Medal in 49 kg Women's Weightlifting andÉ?? https://t.co/sEkbPGBiCh"""	0
Amanpreet Singh	381
"#Tokyo2020"""	0
SwimSwam Live	114
Update News 360 English	171
"#ManikaBatra #SutirthaMukharjeeÉ?? https://t.co/koh9X88Kxy"""	0
Sophie Taylor ???Æ	984
NDTV Sports	4
"#TokyoOlympicsÉ?? https://t.co/0irdxO3BZy"""	0
Richard Kidston	1118
EastMojo	611
Advocate Bikram Singh Sidhu	19
"#Cheers4IndiaÉ?? https://t.co/G2pgCpztIF"""	0
