user_name	user_verified
Katami Michelle	TRUE
Field Hockey Canada	TRUE
Greg Beacham	TRUE
INTO (Irish National Teachers' Organisation)	TRUE
CommonwealthWarGraves	TRUE
International Hockey Federation	TRUE
Kakalabanda	TRUE
Ö?¶Ö??Ö??Ö??Ö??Ö?? Ö??Ö?®Ö??Ö?? | PTC News	TRUE
Devin Heroux	TRUE
TechRepublic	TRUE
Business Insider India????????	TRUE
CAFOD	TRUE
International Hockey Federation	TRUE
World Rugby	TRUE
BBC Merseyside Sport	TRUE
CGTN	TRUE
DW Sports	TRUE
Dr. Anil Jain	TRUE
ChrissieWunna	TRUE
AllForXI	TRUE
Kakalabanda	TRUE
Varanasi Smart City	TRUE
BBC Sport	TRUE
Laura Rollins	TRUE
Sports Express	TRUE
Craig Bratt	TRUE
Kirsten has finished her book draft ????	TRUE
Sportsbet.com.au	TRUE
BBC Sport Wales	TRUE
BBC World Service	TRUE
beIN SPORTS	TRUE
Pon Radhakrishnan	TRUE
Sacha Pisani	TRUE
The FEI	TRUE
Prasar Bharati News Services Ö?¶Öù?.Ö?™Öù?.Ö?èÖ??.Ö?èÖ??.	TRUE
Jacqueline Purdy	TRUE
Tim Barrow	TRUE
Deccan Chronicle	TRUE
Ed Clancy	TRUE
Laura Dymock	TRUE
DYFI - CEC	TRUE
Mikey Nicholson	TRUE
Vinod Kambli	TRUE
International Hockey Federation	TRUE
Rory Flanagan	TRUE
FIE	TRUE
SHEROES	TRUE
Express Sports	TRUE
WBIR Channel 10	TRUE
AllForXI	TRUE
Governor West Bengal Jagdeep Dhankhar	TRUE
Olympics	TRUE
Georgie Tunny	TRUE
Guardian sport	TRUE
Miss Earth	TRUE
Sportsnet	TRUE
The Philippine Star	TRUE
VBET News	TRUE
Las Vegas Aces	TRUE
Nikhila	TRUE
SuperSport Blitz	TRUE
Jacqueline Doorey	TRUE
BBC 5 Live Sport	TRUE
Joydeep Karmakar OLY	TRUE
BBC Sport	TRUE
Ryan Daniels	TRUE
Cyclingnews.com	TRUE
Gretchen Ho	TRUE
Sky Sports Boxing	TRUE
Wera Hobhouse MP ????	TRUE
GMA Sports	TRUE
Bernie Coen	TRUE
Grace Gill	TRUE
Twitter Australia	TRUE
Twitter Australia	TRUE
The Sun Football É?´	TRUE
Sun Sport	TRUE
Philstar Sports Hub	TRUE
International Hockey Federation	TRUE
Alexander Grant	TRUE
Times Sport	TRUE
Sumant Sinha	TRUE
James McNamara	TRUE
International Hockey Federation	TRUE
UCI	TRUE
The FEI	TRUE
Great Britain Hockey	TRUE
International Hockey Federation	TRUE
kcranews	TRUE
RT?? Sport	TRUE
#Tokyo2020 for India	TRUE
International Hockey Federation	TRUE
Chetan Narula	TRUE
Sambhaji Patil Nilangekar	TRUE
Edappadi K Palaniswami	TRUE
Oil India Limited	TRUE
RAFSport	TRUE
SuperSport Blitz	TRUE
Badminton Talk	TRUE
INQUIRER Sports	TRUE
Devin Heroux	TRUE
Sacha Pisani	TRUE
AFP News Agency	TRUE
Basketball Australia	TRUE
Siddhartha Kumar Baraily	TRUE
James Nalton	TRUE
Punjab Police India	TRUE
Lindsay Bennett	TRUE
University Of Limerick	TRUE
Jay Cohen	TRUE
Jarni Blakkarly	TRUE
NOC Azerbaijan	TRUE
Higgo	TRUE
Kelly Simm	TRUE
Pratap Jena	TRUE
Daily Mail Online	TRUE
Al Jazeera English	TRUE
Arsenal Women	TRUE
PIB in Chandigarh	TRUE
IndiaToday	TRUE
Devin Heroux	TRUE
Kim Valli??re	TRUE
Sky Bet #RequestABet	TRUE
